Rank,Company Name,Number of Employees,Previous Rank,Revenues,Revenue Change,Profits,Profit Change,Assets,Market Value
371,Ralph Lauren,20500,354,7405,-0.028,396,-0.436,6213,6710
372,Masco,26000,345,7357,-0.069,491,0.383,5137,10888
373,WESCO International,9000,357,7336,-0.024,101.6,-0.518,4491,3389
374,LifePoint Health,47000,430,7274,0.209,121.9,-0.33,6319,2616
375,National Oilwell Varco,36384,192,7251,-0.509,-2412,-,21140,15183
376,Kindred Healthcare,76650,372,7227,0.018,-664.2,-,6113,711
377,Mosaic,8700,316,7163,-0.195,297.8,-0.702,16841,10242
378,Alliance Data Systems,17000,404,7138,0.108,515.8,-0.135,25514,13925
379,Computer Sciences,59000,233,7106,-0.417,251,-,7736,9746
380,Huntington Ingalls Industries,37000,378,7068,0.007,573,0.418,6352,9265
381,Leidos Holdings,32000,504,7043,0.385,244,-0.039,9132,7696
382,Erie Insurance Group,4988,411,7016,0.057,741.9,0.107,18417,-
383,Tesla,30025,588,7000,0.73,-674.9,-,22664,45390
384,Ascena Retail Group,41000,523,6995,0.456,-11.9,-,5506,830
385,Darden Restaurants,"1,50,942",371,6934,-0.032,375,-0.471,4583,10389
386,Harman International Industries,26000,419,6912,0.123,361.7,0.056,6054,-
387,Nvidia,10299,508,6910,0.379,1666,1.713,9841,64160
388,R.R. Donnelley & Sons,44360,255,6896,-0.387,-495.9,-4.282,4285,846
389,Fifth Third Bancorp,17844,376,6889,-0.02,1564,-0.086,"1,42,177",19066
390,Quintiles Transnational Holdings,50000,447,6878,0.199,115,-0.703,21208,18999
391,Jones Lang LaSalle,77300,436,6804,0.14,318.2,-0.275,7629,5043
392,Dover,29000,377,6794,-0.033,508.9,-0.415,10116,12502
393,Spirit AeroSystems Holdings,14400,389,6793,0.022,469.7,-0.404,5405,6900
394,Ryder System,34500,395,6787,0.033,262.5,-0.139,10903,3992
395,A-Mark Precious Metals,83000,426,6784,0.118,9.3,0.315,437,120
396,Tractor Supply,19500,415,6780,0.089,437.1,0.065,2675,8960
397,Sealed Air,23000,375,6778,-0.036,486.4,0.45,7389,8432
398,Auto-Owners Insurance,4737,398,6775,0.04,706.3,-0.134,21571,-
399,Yum China Holdings,"4,20,000",,6752,-,502,-,3727,10453
400,Calpine,2372,402,6716,0.038,92,-0.609,19317,3989
401,Owens-Illinois,27000,418,6702,0.089,209,0.548,9135,3316
402,Targa Resources,1970,387,6691,0.005,-187.3,-4.213,12871,11743
403,JetBlue Airways,15986,405,6632,0.034,759,0.121,9487,6875
404,Jones Financial,43000,382,6632,-0.009,746,-0.11,19424,-
405,Franklin Resources,9059,344,6618,-0.167,1726.7,-0.152,16099,23823
406,Activision Blizzard,9500,532,6608,0.417,966,0.083,17452,37487
407,J.B. Hunt Transport Services,22190,416,6556,0.059,432.1,0.011,3829,10212
408,Constellation Brands,9000,429,6548,0.086,1054.9,0.257,16965,31775
409,NCR,33500,409,6543,0.027,270,-,7673,5620
410,Asbury Automotive Group,7900,393,6528,-0.009,167.2,-0.012,2336,1271
411,American Financial Group,7600,421,6498,0.057,649,0.844,55072,8303
412,Discovery Communications,7000,406,6497,0.016,1194,0.155,15758,11306
413,Berry Global Group,21000,518,6489,0.329,236,1.744,7653,6256
414,Sanmina,40178,408,6481,0.017,187.8,-0.502,3625,3016
415,CalAtlantic Group,3055,640,6477,0.83,484.7,1.27,8709,4291
416,Dr Pepper Snapple Group,20000,413,6440,0.025,847,0.109,9791,17997
417,DillardÕs,30800,380,6418,-0.05,169.2,-0.372,3888,1645
418,HRG Group,16021,441,6403,0.101,-198.8,-,35793,3869
419,CMS Energy,7750,403,6399,-0.009,551,0.054,21622,12528
420,Graybar Electric,8500,423,6385,0.045,93.1,0.022,2099,-
421,Builders FirstSource,14000,637,6367,0.786,144.3,-,2910,1669
422,Yum Brands,90000,218,6366,-0.514,1619,0.252,5478,22611
423,CaseyÕs General Stores,24724,374,6304,-0.106,226,0.251,2726,4400
424,Amphenol,62000,462,6286,0.129,822.9,0.078,8499,21897
425,Oshkosh,13800,424,6279,0.03,216.4,-0.057,4514,5118
426,iHeartMedia,18700,414,6274,0.005,-296.3,-,12862,330
427,TreeHouse Foods,16027,686,6175,0.926,-228.6,-2.989,6546,4813
428,Alleghany,3420,509,6131,0.226,456.9,-0.185,23757,9476
429,Expeditors International of Washington,16000,390,6098,-0.078,430.8,-0.058,2791,10208
430,Avery Dennison,25000,435,6087,0.02,320.7,0.169,4396,7157
431,Ameren,8629,425,6076,-0.004,653,0.037,24699,13245
432,Hanesbrands,67800,448,6063,0.058,539.4,0.258,6908,7733
433,Motorola Solutions,14000,451,6038,0.06,560,-0.082,8463,14131
434,St. Jude Medical,18000,465,6004,0.084,734,-0.166,12578,-
435,Harley-Davidson,6000,432,5997,-,692.2,-0.08,9890,10626
436,Regions Financial,22166,453,5967,0.052,1163,0.095,"1,25,968",17512
437,Intercontinental Exchange,5631,529,5958,0.273,1422,0.116,82003,35530
438,Alaska Air Group,19112,459,5931,0.059,814,-0.04,9962,11407
439,Old Republic International,8500,442,5901,0.023,466.9,0.106,18592,5382
440,Lam Research,7500,491,5886,0.119,914,0.394,12272,20903
441,AK Steel Holding,8500,383,5883,-0.121,-7.8,-,4036,2263
442,Rockwell Automation,22000,412,5880,-0.068,729.7,-0.118,7101,20024
443,Adobe Systems,15706,524,5854,0.221,1168.8,0.857,12707,64375
444,Avon Products,26400,370,5853,-0.184,-107.6,-,3419,1933
445,Terex,18100,396,5841,-0.107,-176.1,-2.207,5007,3250
446,NVR,4900,498,5835,0.129,425.3,0.111,2644,7851
447,Dana Holding,24900,428,5826,-0.039,640,3.025,4860,2783
448,Realogy Holdings,11800,449,5810,0.018,213,0.158,7421,4173
449,American Tower,4507,526,5786,0.213,956.4,0.396,30879,51921
450,Packaging Corp. of America,14000,446,5779,0.006,449.6,0.029,5777,8631
451,Citizens Financial Group,17600,486,5763,0.092,1045,0.244,"1,49,520",17597
452,United Rentals,12500,440,5762,-0.009,566,-0.032,11988,10561
453,Clorox,8000,455,5761,0.017,648,0.117,4518,17294
454,Genesis Healthcare,82000,457,5733,0.02,-64,-,5779,408
455,M&T Bank Corp.,16487,510,5722,0.145,1315.1,0.218,"1,23,449",23792
456,Ingredion,11000,456,5704,0.015,484.9,0.206,5782,8646
457,UGI,13105,384,5686,-0.15,364.7,0.298,10847,8543
458,Owens Corning,16000,480,5677,0.061,393,0.191,7741,6910
459,S&P Global,20000,481,5661,0.066,2106,0.822,8669,33805
460,Markel,10900,476,5612,0.045,455.7,-0.218,25875,13623
461,Wyndham Worldwide,37800,466,5599,0.011,611,-0.002,9819,8829
462,Arthur J. Gallagher,24790,471,5595,0.038,414.4,0.161,11490,10148
463,Burlington Stores,40000,500,5591,0.09,215.9,0.435,2575,6836
464,First American Financial,19531,497,5576,0.077,343,0.191,8832,4332
465,Symantec,11000,400,5568,-0.144,2488,1.834,11767,18986
466,Patterson,7000,559,5555,0.27,187.2,-0.162,3521,4393
467,Olin,6400,761,5551,0.945,-3.9,-,8763,5444
468,NetApp,12030,422,5546,-0.094,229,-0.591,10037,11339
469,Raymond James Financial,11900,482,5520,0.04,529.4,0.054,31594,10958
470,TravelCenters of America,20259,439,5511,-0.058,-2,-1.073,1660,241
471,Fiserv,23000,492,5505,0.048,930,0.306,9743,24741
472,Host Hotels & Resorts,"2,20,000",472,5488,0.019,762,0.366,11408,13794
473,Insight Enterprises,5930,474,5486,0.021,84.7,0.117,2219,1458
474,Mattel,32000,450,5457,-0.043,318,-0.139,6494,8770
475,AmTrust Financial Services,8000,531,5451,0.181,411,-0.088,22615,3158
476,Cincinnati Financial,4754,499,5449,0.06,590.7,-0.068,20386,11911
477,Simon Property Group,4050,488,5435,0.032,1838.9,0.006,31104,53732
478,Western Union,10700,468,5423,-0.011,253.2,-0.698,9420,9691
479,KeyCorp,15700,540,5422,0.194,791,-0.136,"1,36,453",19238
480,Delek US Holdings,1326,445,5414,-0.06,-153.7,-8.923,2985,1504
481,Booz Allen Hamilton Holding,22600,487,5406,0.025,294.1,0.265,3010,5307
482,Chemours,7000,,5400,-,7,-,6060,7080
483,Western & Southern Financial Group,2178,479,5398,0.008,241.2,-0.472,43831,-
484,Regions Financial,7293,453,5389,-0.05,900,1.961,8357,12643
485,Windstream Holdings,11870,443,5387,-0.066,-383.5,-,11770,1038
486,Seaboard,11781,460,5379,-0.038,312,0.825,4755,4881
487,Essendant,6600,477,5369,0.001,63.9,-,2164,568
488,Apache,3727,388,5354,-0.195,-1405,-,22519,19547
489,Airgas,17000,484,5314,0.002,337.5,-0.083,6135,-
490,Kelly Services,7500,467,5277,-0.044,120.8,1.245,2028,836
491,Liberty Media,3626,525,5276,0.1,680,9.625,31377,13055
492,Rockwell Collins,19000,490,5259,-0.001,728,0.061,7707,12711
493,Robert Half International,16400,503,5250,0.031,343.4,-0.04,1778,6240
494,CH2M Hill,20000,478,5236,-0.023,15,-0.813,2671,-
495,Big Lots,23150,495,5200,0.002,152.8,0.07,1608,2180
496,Michaels Cos.,31000,517,5197,0.058,378.2,0.042,2148,4229
497,Toll Brothers,4200,576,5170,0.239,382.1,0.052,9737,5872
498,Yahoo,8500,513,5169,0.04,-214.3,-,48083,44391
499,Vistra Energy,4431,,5164,-,-,-,15167,6968
500,ABM Industries,"1,10,000",485,5145,-0.028,57.2,-0.25,2281,2428
