,title,overview,original_language,release_date,popularity,vote_count,vote_average
102,Green Lantern,"For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of the first human ever recruited.",en,2011-06-16,46.459,6438,5.2
103,Ant-Man and the Wasp,"Just when his time under house arrest is about to end, Scott Lang once again puts his freedom at risk to help Hope van Dyne and Dr. Hank Pym dive into the quantum realm and try to accomplish, against time and any chance of success, a very dangerous rescue mission.",en,2018-07-04,46.446,11642,7.0
104,Superwho?,"A struggling actor seems doomed to live life as a loser. When he finally snatches a lead role as a superhero named “Badman,” he feels like everything is possible, but fate strikes again.",fr,2022-02-02,46.38,324,6.3
105,A Real Young Girl,"Bored and restless, Alice spends much of her time lusting after Jim, a local sawmill worker. When not lusting after him, Alice fills the hours with such pursuits as writing her name on a mirror with vaginal secretions and wandering the fields with her underwear around her ankles. And, in true teenaged tradition, she spends a lot of time writing in her diary.",fr,1976-01-01,46.367,89,5.3
106,Pain & Gain,"Daniel Lugo, manager of the Sun Gym in 1990s Miami, decides that there is only one way to achieve his version of the American dream: extortion. To achieve his goal, he recruits musclemen Paul and Adrian as accomplices. After several failed attempts, they abduct rich businessman Victor Kershaw and convince him to sign over all his assets to them. But when Kershaw makes it out alive, authorities are reluctant to believe his story.",en,2013-04-18,46.347,3878,6.2
107,Making 1899,"Go behind the scenes and see how the creators of ""Dark"" used groundbreaking virtual technology ""The Volume"" to shoot their new mystery series.",en,2022-11-17,44.423,5,4.8
108,Alvin and the Chipmunks,"A struggling songwriter named Dave Seville finds success when he comes across a trio of singing chipmunks: mischievous leader Alvin, brainy Simon, and chubby, impressionable Theodore.",en,2007-12-13,46.25,3872,5.8
109,Gasoline Alley,"A man implicated in the triple homicide of three Hollywood starlets begins his own investigation. Needing assistance, he enlists the two detectives on his tail in order to expose a conspiracy more explosive than any of them imagined.",en,2022-02-25,48.243,85,5.5
110,Taxi Driver,A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.,en,1976-02-09,46.145,10045,8.2
111,What Happened at the Carpenter's Shop,"A rumour spread out all over the neighborhood. Yeon-joo, a beautiful, entertaining SNS celebrity, and also a woodworker is being watched and admired by Do-shik.  He decides to ask her for a date one weekend. Do-shik appeared and grasped Yeon-joo without her noticing him.  Meanwhile, the clueless, naïve, and honest bookkeeper of the carpenter shop is keeping two huge secrets no one would even thought of.  Finally, the great secret of Yeon-joo and Tae-ju is revealed, turning the tables around.",ko,2020-03-05,46.127,2,6.0
112,I Spit on Your Grave,"Jennifer is a writer working on a new novel and, needing to get out of the city to finish it, hires a riverside apartment in upstate New York to finish her book—attracting the attention of a number of rowdy male locals.",en,2010-06-17,46.127,1860,6.5
113,The Walking Dead: The Journey So Far,"This two-hour retrospective in which the entire cast will tell the stories of their characters from the moment they were introduced through to where they were left at the end of the last episode of season 7. Beautifully shot interviews of the cast and the EPs are punctuated by clips of the most crucial moments in the series.  If someone has never seen a moment of The Walking Dead before, this special will catch them up on the plot, characters, locations, and unique terminology of the series leading up to season 8.",en,2016-10-16,46.076,16,7.8
114,Army of the Dead,"Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble: venturing into the quarantine zone to pull off the greatest heist ever attempted.",en,2021-05-14,46.051,3309,6.3
115,Colombiana,"After witnessing her parents’ murder as a child in Bogota, Cataleya Restrepo grows up to be a stone-cold assassin. She works for her uncle as a hitman by day, but her personal time is spent engaging in vigilante murders that she hopes will lead her to her ultimate target: the mobster responsible for her parents' death.",en,2011-07-27,46.044,2199,6.6
116,Jack Reacher,"When a gunman takes five lives with six shots, all evidence points to the suspect in custody. On interrogation, the suspect offers up a single note: ""Get Jack Reacher!"" So begins an extraordinary chase for the truth, pitting Jack Reacher against an unexpected enemy, with a skill for violence and a secret to keep.",en,2012-12-20,45.911,6078,6.6
117,Hercules,"Fourteen hundred years ago, a tormented soul walked the earth that was neither man nor god. Hercules was the powerful son of the god king Zeus, for this he received nothing but suffering his entire life. After twelve arduous labors and the loss of his family, this dark, world-weary soul turned his back on the gods finding his only solace in bloody battle. Over the years he warmed to the company of six similar souls, their only bond being their love of fighting and presence of death. These men and woman never question where they go to fight or why or whom, just how much they will be paid. Now the King of Thrace has hired these mercenaries to train his men to become the greatest army of all time. It is time for this bunch of lost souls to finally have their eyes opened to how far they have fallen when they must train an army to become as ruthless and blood thirsty as their reputation has become.",en,2014-07-23,45.851,3639,5.8
118,Rambo: Last Blood,"After fighting his demons for decades, John Rambo now lives in peace on his family ranch in Arizona, but his rest is interrupted when Gabriela, the granddaughter of his housekeeper María, disappears after crossing the border into Mexico to meet her biological father. Rambo, who has become a true father figure for Gabriela over the years, undertakes a desperate and dangerous journey to find her.",en,2019-09-19,45.834,3230,6.5
119,Satanic Pandemonium,"Sister Maria is known in the convent for her good works and charity, but, in the secret depths of her sexual fantasies, she is tormented by visions of another world - a world where her forbidden passions are allowed to run free. In this world Satan is her master. As her acts of violence and blasphemy mount, Maria realizes that she has been chosen by the Devil to destroy the convent and lead her sister nuns into hell!",es,1975-06-26,45.781,58,6.5
120,An Egg Rescue,Toto and his friends must rescue his egg children after they're taken away for a gourmet food event in Africa.,es,2021-08-12,45.767,324,7.9
121,Get Out,"Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.",en,2017-02-24,45.752,14941,7.6
122,The Passion of the Christ,A graphic portrayal of the last twelve hours of Jesus of Nazareth's life.,en,2004-02-25,45.744,3626,7.4
123,Un novio para mi mujer,"Diego wants to separate from his wife, Lucía, but he doesn't know how to tell her. He is fed up with her neuroses and constant complaints about him, and he has long since lost the spark that made him fall in love. Unable to say it to her face, he turns to Cuervo Flores, a famous seducer ""from before"", who will try to make Lucía fall in love so that she will be the one to end her marriage.",en,2022-07-22,46.626,21,5.3
124,Venus,"After being caught stealing from her employers, club dancer Lucía seeks shelter with her estranged sister and niece in the Venus, a decrepit apartment complex on the outskirts of Madrid. Soon, Lucía discovers the apartment complex harbors a dark secret threatening to reveal itself after an unexpected solar eclipse.",es,2022-12-02,53.34,0,0.0
125,Matilda,An extraordinarily intelligent young girl from a cruel and uncaring family discovers she possesses telekinetic powers and is sent off to a school headed by a tyrannical principal.,en,1996-08-02,45.663,3703,7.1
126,Teen Wolf: The Movie,"A full moon rises in Beacon Hills, and with it a terrifying evil has emerged. The wolves are howling once again, calling for the return of Banshees, Werecoyotes, Hellhounds, Kitsunes, and every other shapeshifter in the night. But only a Werewolf like Scott McCall, no longer a teenager yet still an Alpha, can gather both new allies and reunite trusted friends to fight back against what could be the most powerful and deadliest enemy they’ve ever faced.",en,2023-01-26,45.607,0,0.0
127,Shaolin Soccer,A young Shaolin follower reunites with his discouraged brothers to form a soccer team using their martial art skills to their advantage.,cn,2001-07-05,45.596,1792,7.1
128,Infinite Storm,One woman's journey for self-discovery and turns into a harrowing tale of survival.,en,2022-03-25,55.362,107,6.1
129,Descendants: The Royal Wedding,"Happily-ever-after continues for Auradon's power couple as they prepare to say ""I do"" at an epic celebration with their friends and family, but Hades threatens to ruin it all.",en,2021-08-13,42.127,133,6.8
130,Naruto: The Lost Story - Mission: Protect the Waterfall Village!,Naruto and his friends must get back a jug of stolen holy water from a band of higher class ninjas.,ja,2003-12-20,45.584,80,6.8
131,X-Men: Days of Future Past,The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.,en,2014-05-15,45.575,13792,7.5
132,Kong: Skull Island,"Explore the mysterious and dangerous home of the king of the apes as a team of explorers ventures deep inside the treacherous, primordial island.",en,2017-03-08,45.573,9222,6.5
133,One Piece: Adventure of Nebulandia,"Kōmei devises a plan where Zoro and Sanji take part in an eating contest, and the two eat a strange ""good-for-nothing-only"" mushroom that turns them into good-for-nothing men. The two are then locked in a jail cell. When the rest of the Straw Hat Pirates chase after their imprisoned crew, they land on the island of Nebulandia, which features a mysterious fog made from sea water, and it has the same effects as seastone. The Straw Hat Pirates' arrival on Nebulandia is also a part of Kōmei's plan.",ja,2015-12-20,45.557,136,7.5
134,Bohemian Rhapsody,"Singer Freddie Mercury, guitarist Brian May, drummer Roger Taylor and bass guitarist John Deacon take the music world by storm when they form the rock 'n' roll band Queen in 1970. Hit songs become instant classics. When Mercury's increasingly wild lifestyle starts to spiral out of control, Queen soon faces its greatest challenge yet – finding a way to keep the band together amid the success and excess.",en,2018-10-24,45.457,15223,8.0
135,Army of Thieves,A mysterious woman recruits bank teller Ludwig Dieter to lead a group of aspiring thieves on a top-secret heist during the early stages of the zombie apocalypse.,en,2021-10-27,58.057,1517,6.9
136,Terminator Salvation,"All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears, his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past -- and whether he's friend or foe.",en,2009-05-20,45.344,5626,6.0
137,On the Third Day,"Cecilia and her son embark on a journey. On the third day, she is found wandering alone, not remembering what happened during this time. She is desperately looking for her son and finds herself wrapped in a brutal hunt, carried out by a religious fanatic, whom she faces off against. To her, he's a lunatic. To him, Cecilia is the enemy.",es,2021-06-04,45.339,11,4.5
138,G.I. Joe: The Rise of Cobra,"From the Egyptian desert to deep below the polar ice caps, the elite G.I. JOE team uses the latest in next-generation spy and military equipment to fight the corrupt arms dealer Destro and the growing threat of the mysterious Cobra organization to prevent them from plunging the world into chaos.",en,2009-08-03,45.305,4068,5.8
139,Glass,"In a series of escalating encounters, former security guard David Dunn uses his supernatural abilities to track Kevin Wendell Crumb, a disturbed man who has twenty-four personalities. Meanwhile, the shadowy presence of Elijah Price emerges as an orchestrator who holds secrets critical to both men.",en,2019-01-16,45.235,7260,6.7
140,The School Teacher,Edwige Fenech plays the sexy private teacher of Franco (Alfredo Pea) who immediately falls madly in love with her. Franco tries and tries to seduce her by faking his own suicide.,it,1975-07-11,45.178,33,5.0
141,Klaus,"When Jesper distinguishes himself as the Postal Academy's worst student, he is sent to Smeerensburg, a small village located on an icy island above the Arctic Circle, where grumpy inhabitants barely exchange words, let alone letters. Jesper is about to give up and abandon his duty as a postman when he meets local teacher Alva and Klaus, a mysterious carpenter who lives alone in a cabin full of handmade toys.",en,2019-11-08,45.169,3133,8.3
142,Star Wars: The Last Jedi,"Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares to do battle with the First Order.",en,2017-12-13,45.165,13511,6.9
143,Secret of the Wings,Tinkerbell wanders into the forbidden Winter woods and meets Periwinkle. Together they learn the secret of their wings and try to unite the warm fairies and the winter fairies to help Pixie Hollow.,en,2012-08-17,45.155,1004,7.2
144,Below Her Mouth,An unexpected affair quickly escalates into a heart-stopping reality for two women whose passionate connection changes their lives forever.,en,2017-02-10,45.116,1007,6.8
145,99 Homes,"After his family is evicted from their home, proud and desperate construction worker Dennis Nash tries to win his home back by striking a deal with the devil and working for Rick Carver, the corrupt real estate broker who evicted him.",en,2015-09-25,45.017,640,6.7
146,Predator,A team of elite commandos on a secret mission in a Central American jungle come to find themselves hunted by an extraterrestrial warrior.,en,1987-06-12,45.017,6642,7.5
147,Rise of the Planet of the Apes,"A highly intelligent chimpanzee named Caeser has been living a peaceful suburban life ever since he was born. But when he gets taken to a cruel primate facility, Caeser decides to revolt against those who have harmed him.",en,2011-08-03,44.997,10259,7.3
148,A Bad Moms Christmas,"Amy, Kiki and Carla – three under-appreciated and over-burdened women – rebel against the challenges and expectations of the Super Bowl for mothers: Christmas. And if creating a more perfect holiday for their families wasn’t hard enough, they have to do all of that while hosting and entertaining their own mothers.",en,2017-08-04,44.99,1814,6.3
149,Independence Day,"On July 2, a giant alien mothership enters orbit around Earth and deploys several dozen saucer-shaped 'destroyer' spacecraft that quickly lay waste to major cities around the planet. On July 3, the United States conducts a coordinated counterattack that fails. On July 4, a plan is devised to gain access to the interior of the alien mothership in space, in order to plant a nuclear missile.",en,1996-06-25,44.985,8360,6.9
150,A Christmas Miracle for Daisy,"Whitney Alder owns interior design firm Marietta Designs, which she runs with her friend Andi in the small town of Marietta, Montana. Whitney is designing Santa’s float for the annual Marietta Christmas Parade when a potential job opportunity comes her way: the full redesign of a landmark home by Christmas Eve.",en,2021-12-11,47.269,29,5.9
151,American Pie,"At a high-school party, four friends find that losing their collective virginity isn't as easy as they had thought. But they still believe that they need to do so before college. To motivate themselves, they enter a pact to all ""score"" by their senior prom.",en,1999-07-09,44.962,6711,6.5
152,Undercover,"October 2015. French customs seize seven tonnes of cannabis in the heart of the capital. The same day, Hubert Antoine, a former mole with a shady past, contacts Stéphane Vilner, a journalist at Libération. He claims to be able to demonstrate the existence of State drug trafficking led by Jacques Billard, prominent media figure and high-ranking French police officer. Suspicious at first, the young journalist finally dives into an investigation that will lead him to the darkest corners of the Republic.",fr,2022-02-09,44.951,57,4.7
153,My Neighbor Totoro,"Two sisters move to the country with their father in order to be closer to their hospitalized mother, and discover the surrounding trees are inhabited by Totoros, magical spirits of the forest. When the youngest runs away from home, the older sister seeks help from the spirits to find her.",ja,1988-04-16,44.951,6511,8.1
154,"Josee, the Tiger and the Fish","With dreams of diving abroad, Tsuneo gets a job assisting Josee, an artist whose imagination takes her far beyond her wheelchair. But when the tide turns against them, they push each other to places they never thought possible, and inspire a love fit for a storybook.",ja,2020-12-25,44.948,288,8.4
155,Bambi,"Bambi's tale unfolds from season to season as the young prince of the forest learns about life, love, and friends.",en,1942-02-11,44.921,4901,7.0
156,American Pie Presents: The Book of Love,"Ten years after the first American Pie movie, three new hapless virgins discover the Bible hidden in the school library at East Great Falls High. Unfortunately for them, the book is ruined, and with incomplete advice, the Bible leads them on a hilarious journey to lose their virginity.",en,2009-06-18,44.889,1521,5.2
157,The Legend of Maula Jatt,"Maula Jatt, a fierce prizefighter with a tortured past seeks vengeance against his arch nemesis Noori Natt, the most feared warrior in the land of Punjab.",pa,2022-10-13,44.801,5,7.2
158,300: Rise of an Empire,"Greek general Themistocles attempts to unite all of Greece by leading the charge that will change the course of the war. Themistocles faces the massive invading Persian forces led by mortal-turned-god, Xerxes and Artemesia, the vengeful commander of the Persian navy.",en,2014-03-05,44.77,5748,6.1
159,Once Upon a Snowman,"The previously untold origins of Olaf, the innocent and insightful, summer-loving snowman are revealed as we follow Olaf’s first steps as he comes to life and searches for his identity in the snowy mountains outside Arendelle.",en,2020-10-23,44.767,455,6.9
160,Pacific Rim: Uprising,"It has been ten years since The Battle of the Breach and the oceans are still, but restless. Vindicated by the victory at the Breach, the Jaeger program has evolved into the most powerful global defense force in human history. The PPDC now calls upon the best and brightest to rise up and become the next generation of heroes when the Kaiju threat returns.",en,2018-03-21,44.761,4184,6.1
161,Taken 2,"In Istanbul, retired CIA operative Bryan Mills and his wife are taken hostage by the father of a kidnapper Mills killed while rescuing his daughter.",en,2012-09-27,44.761,5888,6.3
162,101 Dalmatians,"An evil, high-fashion designer plots to steal Dalmatian puppies in order to make an extravagant fur coat, but instead creates an extravagant mess.",en,1996-11-27,44.758,2942,5.9
163,High School Teacher: Maturing,"A female highschool teacher must deal with sexual harrassment from her students and being trapped in a love triangle with two men, neither of whom has any interest in marrying her.",ja,1985-01-15,44.693,8,6.4
164,Solitary,"A man wakes up inside a room to discover he's a prisoner sent into space to form Earth's first colony, and worse - his cell mate Alana is hell bent on destroying everything.",en,2020-08-31,44.686,87,5.3
165,Chinese Grandma,The life of two old people Katya and Pasha is turning upside down after arrival of Katya's sister Mila who is definitely not an ordinary average person...,ru,2010-08-26,44.683,6,3.2
166,Descendants,"A present-day idyllic kingdom where the benevolent teenage son of King Adam and Queen Belle offers a chance of redemption for the troublemaking offspring of Disney's classic villains: Cruella De Vil (Carlos), Maleficent (Mal), the Evil Queen (Evie) and Jafar (Jay).",en,2015-07-31,44.656,2023,7.1
167,I Don't Like Younger Men,"Won-gi lost his wife a long time ago and is running a pension outside of the city. Then one day, Won-gi's daughter and her friend Se-yeong stays in the pension during a break from their school in Seoul. However, Won-gi finds himself attracted to the friend who is so much like his dead wife. Then he crosses a line that he shouldn't have crossed...",ko,2017-01-01,44.65,2,5.0
168,Malignant,"Madison is paralyzed by shocking visions of grisly murders, and her torment worsens as she discovers that these waking dreams are in fact terrifying realities with a mysterious tie to her past.",en,2021-09-01,44.646,1721,6.9
169,Power Rangers,"Saban's Power Rangers follows five ordinary teens who must become something extraordinary when they learn that their small town of Angel Grove — and the world — is on the verge of being obliterated by an alien threat. Chosen by destiny, our heroes quickly discover they are the only ones who can save the planet. But to do so, they will have to overcome their real-life issues and before it’s too late, band together as the Power Rangers.",en,2017-03-23,44.631,3988,6.3
170,Moonbound,"When Peter sets out on a magical journey to rescue his little sister Anne, he needs to travel to mysterious territory: the Moon! Anne was kidnapped by the evil Moon Man when she tried to help the beetle Mr. Zoomzeman in search for his wife. On his fantastic adventure, Peter lands on the Star Meadow where he meets the sleepy Mr. Sandman. He knows, only at the Night Fairy’s dinner in the castle in the clouds, they can find out where Anne is – but there aren’t enough seats for everyone. So they join the wild race along the Milky Way against the five Spirits of Nature: Storm Giant, Lightning Witch, Henry Hail, Rainy Robin and Mother Frost…",de,2021-06-24,44.628,68,6.4
171,Die Hard,"NYPD cop John McClane's plan to reconcile with his estranged wife is thrown for a serious loop when, minutes after he arrives at her office, the entire building is overtaken by a group of terrorists. With little help from the LAPD, wisecracking McClane sets out to single-handedly rescue the hostages and bring the bad guys down.",en,1988-07-15,44.576,9503,7.8
172,Sooryavanshi,"A fearless, faithful albeit slightly forgetful Mumbai cop, Veer Sooryavanshi, the chief of the Anti-Terrorism Squad in India pulls out all the stops and stunts to thwart a major conspiracy to attack his city.",hi,2021-11-05,44.556,124,5.8
173,Barbie as Rapunzel,"Long, long ago, in a time of magic and dragons, there lived a girl named Rapunzel who had the most beautiful radiant hair the world had ever seen. But Rapunzel's life was far from wonderful. She lived as a servant to Gothel, a jealous, scheming witch who kept her hidden deep in a forbidding forest, guarded by the enormous dragon Hugo and surrounded by an enchanted glass wall. However, in a twist of fate, Rapunzel's discovery of a magic paintbrush leads her on a journey that will unravel a web of deception, bring peace to two feuding kingdoms, and ultimately lead her to love with the help of Penelope(TM), the least intimidating of dragons!",en,2002-10-01,44.544,1057,7.0
174,High School Lynching,A high school student is captured and sexually tortured.,ja,1975-07-23,44.53,0,0.0
175,Five Feet Apart,"Seventeen-year-old Stella spends most of her time in the hospital as a cystic fibrosis patient. Her life is full of routines, boundaries and self-control — all of which get put to the test when she meets Will, an impossibly charming teen who has the same illness. There's an instant flirtation, though restrictions dictate that they must maintain a safe distance between them. As their connection intensifies, so does the temptation to throw the rules out the window and embrace that attraction.",en,2019-03-14,44.515,4962,8.3
176,Z-O-M-B-I-E-S 3,"Zed and Addison are beginning their final year at Seabrook High in the town that’s become a safe haven for monsters and humans alike. Zed is anticipating an athletic scholarship that will make him the first Zombie to attend college, while Addison is gearing up for Seabrook’s first international cheer-off competition. Then suddenly, extraterrestrial beings appear around Seabrook, provoking something other than friendly competition.",en,2022-07-09,42.05,281,7.6
177,"Good Luck to You, Leo Grande","Nancy Stokes doesn’t know good sex. Whatever it may be, Nancy, a retired schoolteacher, is pretty sure she has never had it, but she is determined to finally do something about that. She even has a plan: It involves an anonymous hotel room, and a young sex worker who calls himself Leo Grande.",en,2022-06-17,44.493,169,6.9
178,Weathering with You,"The summer of his high school freshman year, Hodaka runs away from his remote island home to Tokyo, and quickly finds himself pushed to his financial and personal limits. The weather is unusually gloomy and rainy every day, as if taking its cue from his life. After many days of solitude, he finally finds work as a freelance writer for a mysterious occult magazine. Then, one day, Hodaka meets Hina on a busy street corner. This bright and strong-willed girl possesses a strange and wonderful ability: the power to stop the rain and clear the sky.",ja,2019-06-19,44.431,1650,8.0
179,Restless,"After going to extremes to cover up an accident, a corrupt cop's life spirals out of control when he starts receiving threats from a mysterious witness.",fr,2022-02-25,49.976,298,6.1
180,Pride & Prejudice,"A story of love and life among the landed English gentry during the Georgian era. Mr. Bennet is a gentleman living in Hertfordshire with his overbearing wife and five daughters, but if he dies their house will be inherited by a distant cousin whom they have never met, so the family's future happiness and security is dependent on the daughters making good marriages.",en,2005-09-16,44.375,6848,8.1
181,Guardians of the Galaxy,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",en,2014-07-30,44.371,25213,7.9
182,Hidden Figures,"The untold story of Katherine G. Johnson, Dorothy Vaughan and Mary Jackson – brilliant African-American women working at NASA and serving as the brains behind one of the greatest operations in history – the launch of astronaut John Glenn into orbit. The visionary trio crossed all gender and race lines to inspire generations to dream big.",en,2016-12-10,44.332,8249,8.1
183,Dragon Fury,A group of soldiers are taken to the mountains of Wales to investigate a strange looking monster.,en,2021-06-15,43.096,39,6.1
184,First Love,"A young man’s difficult entry into adulthood, who experiences the highs and lows of his first love, while dealing with the familial fallout spurred by the financial crisis of 2008.",en,2022-06-17,47.94,73,6.1
185,King Tweety,"Everyone's favorite yellow canary unexpectedly becomes next in line for the crown when the queen of an island paradise disappears. His Little Highness’ entourage includes motorbike daredevil Granny and sly Sylvester, whose allegiance is tested when he uncovers a sinister plot to eliminate Tweety for good.",en,2022-06-13,49.153,72,7.0
186,Pretty Guardian Sailor Moon Eternal The Movie Part 2,"While under the care of the Outer Sailor Guardians, Hotaru begins to age rapidly. Then, the time comes for all the Sailor Guardians to reunite!",ja,2021-02-11,46.165,122,8.1
187,KonoSuba: God's Blessing on this Wonderful World! Legend of Crimson,"It is not strange that the Demon Lord's forces fear the Crimson Demons, the clan from which Megumin and Yunyun originate. Even if the Demon Lord's generals attack their village, the Crimson Demons can just easily brush them off with their supreme mastery of advanced and overpowered magic.  When Yunyun receives a seemingly serious letter regarding a potential disaster coming to her hometown, she immediately informs Kazuma Satou and the rest of his party. After a series of wacky misunderstandings, it turns out to be a mere prank by her fellow demon who wants to be an author. Even so, Megumin becomes worried about her family and sets out toward the Crimson Demons' village with the gang.  There, Kazuma and the others decide to sightsee the wonders of Megumin's birthplace. However, they soon come to realize that the nonsense threat they received might have been more than just a joke.",ja,2019-08-30,44.226,421,8.2
188,The Great Wall,European mercenaries searching for black powder become embroiled in the defense of the Great Wall of China against a horde of monstrous creatures.,en,2016-12-16,44.22,4456,6.0
189,Sausage Party,Frank leads a group of supermarket products on a quest to discover the truth about their existence and what really happens when they become chosen to leave the grocery store.,en,2016-07-11,44.204,6422,5.7
190,Baby Driver,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",en,2017-06-28,44.158,13788,7.5
191,Covet: Island of Desire,"People who are on a fishing boat in a secluded countryside wake up to a deep desire in their heart.  Money, sex, power ... In the uninhabited desert of endless desire, it turns out that somebody is found as a body and another person is on the island.  Can they escape safely from the island of desire?",ko,2017-05-04,44.157,5,4.8
192,Brian Banks,An All-American football player's dreams to play in the NFL are halted when he is falsely accused of rape and sent to prison.,en,2019-08-09,43.978,161,7.3
193,In Time,"In the not-too-distant future the aging gene has been switched off. To avoid overpopulation, time has become the currency and the way people pay for luxuries and necessities. The rich can live forever, while the rest try to negotiate for their immortality. A poor young man who comes into a fortune of time, though too late to help his mother from dying. He ends up on the run from a corrupt police force known as 'time keepers'.",en,2011-10-27,43.942,9938,7.0
194,Captain America: The First Avenger,"During World War II, Steve Rogers is a sickly man from Brooklyn who's transformed into super-soldier Captain America to aid in the war effort. Rogers must stop the Red Skull – Adolf Hitler's ruthless head of weaponry, and the leader of an organization that intends to use a mysterious device of untold powers for world domination.",en,2011-07-22,43.939,19275,7.0
195,Gone Girl,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",en,2014-10-01,43.858,16428,7.9
196,Hachi: A Dog's Tale,A drama based on the true story of a college professor's bond with the abandoned dog he takes into his home.,en,2009-06-08,43.84,5873,8.0
197,Godzilla,"Ford Brody, a Navy bomb expert, has just reunited with his family in San Francisco when he is forced to go to Japan to help his estranged father, Joe. Soon, both men are swept up in an escalating crisis when an ancient alpha predator arises from the sea to combat malevolent adversaries that threaten the survival of humanity. The creatures leave colossal destruction in their wake, as they make their way toward their final battleground: San Francisco.",en,2014-05-14,43.813,7913,6.3
198,Father Stu,"The true-life story of boxer-turned-priest. When an injury ends his amateur boxing career, Stuart Long moves to Los Angeles to find money and fame. While scraping by as a supermarket clerk, he meets Carmen, a Sunday school teacher who seems immune to his bad-boy charm. Determined to win her over, the longtime agnostic starts going to church to impress her. However, a motorcycle accident leaves him wondering if he can use his second chance to help others, leading to the surprising realization that he's meant to be a Catholic priest.",en,2022-04-13,44.046,340,7.5
199,Hitman's Wife's Bodyguard,"The world’s most lethal odd couple – bodyguard Michael Bryce and hitman Darius Kincaid – are back on another life-threatening mission. Still unlicensed and under scrutiny, Bryce is forced into action by Darius's even more volatile wife, the infamous international con artist Sonia Kincaid. As Bryce is driven over the edge by his two most dangerous protectees, the trio get in over their heads in a global plot and soon find that they are all that stand between Europe and a vengeful and powerful madman.",en,2021-06-14,43.782,1698,6.7
200,Naruto Shippuden the Movie: The Lost Tower,"Assigned on a mission to capture Mukade, a missing-nin, Naruto Uzumaki sets out for the once glorious historic ruins of ""Ouran"", where he pursues and corners the rouge ninja. Mukade's goal is revealed to be a dormant leyline within the ruins; he unleashes the power of the leyline, causing a light to envelop Naruto, sending him into the past, 20 years before the series began. When Naruto awakens, he comes into contact with the Fourth Hokage, Minato Namikaze.",ja,2010-07-31,43.782,342,7.0
201,Breakthrough,"Tragedy strikes when a woman named Joyce's son falls through the ice on a frozen lake and is trapped underwater for over 15 minutes. After being rushed to the hospital, the 14-year-old boy continues to fight for his life as Joyce, her husband and their pastor stay by his bedside and pray for a miracle.",en,2019-04-10,43.763,917,7.7
202,Batman Returns,"While Batman deals with a deformed man calling himself the Penguin, an employee of a corrupt businessman transforms into the Catwoman.",en,1992-06-19,43.758,5525,6.9
203,The Predator,"When a young boy accidentally triggers the universe's most lethal hunters' return to Earth, only a ragtag crew of ex-soldiers and a disgruntled scientist can prevent the end of the human race.",en,2018-09-05,43.745,3998,5.6
204,"Paul, Apostle of Christ","Risking his life, Luke ventures to Rome to visit Paul -- the apostle who's bound in chains and held captive in Nero's darkest and bleakest prison cell. Haunted by the shadows of his past misdeeds, Paul wonders if he's been forgotten as he awaits his grisly execution. Before Paul's death, Luke resolves to write another book that details the birth of what will come to be known as the church.",en,2018-03-23,43.726,275,7.5
205,It,"In a small town in Maine, seven children known as The Losers Club come face to face with life problems, bullies and a monster that takes the shape of a clown called Pennywise.",en,2017-09-06,43.724,17108,7.2
206,Devotion,The harrowing true story of two elite US Navy fighter pilots during the Korean War. Their heroic sacrifices would ultimately make them the Navy's most celebrated wingmen.,en,2022-11-23,43.716,11,6.6
207,Jumanji: Welcome to the Jungle,"Four teenagers in detention discover an old video game console with a game they’ve never heard of. When they decide to play, they are immediately sucked into the jungle world of Jumanji in the bodies of their avatars. They’ll have to complete the adventure of their lives filled with fun, thrills and danger or be stuck in the game forever!",en,2017-12-09,43.711,12113,6.8
208,Dragon Ball Z: The World's Strongest,"The evil Dr. Kochin uses the dragon balls to resurrect his mentor, Dr. Wheelo, in an effort to take over the world. Dr. Wheelo, his body having been destroyed by the avalanche that killed him fifty years before, desires the body of the strongest fighter in the world as his new vessel. Believing Roshi to be the world's strongest warrior, Dr. Kochin abducts Bulma and forces Roshi to surrender himself to save her. When Goku hears of their abduction, he goes to their rescue.",ja,1990-03-10,43.709,401,6.5
