"name","description","make","model","type","year","price","engine","cylinders","fuel","mileage","transmission","trim","body","doors","exterior_color","interior_color","drivetrain"
"2023 Dodge Durango Pursuit","DB Black Crystal Clearcoat 2023 Dodge Durango Pursuit AWD 8-Speed Automatic HEMI 5.7L V8 Multi Displacement VVT","Dodge","Durango","New","2023","46835","16V MPFI OHV","8","Gasoline","21","8-Speed Automatic","Pursuit","SUV","4","DB Black Crystal Clearcoat","Black","All-wheel Drive"
"2024 Subaru Outback Wilderness","
      
        Heated Seats, Alloy Wheels, Turbo Charged, All Wheel Drive, Power Liftgate, Heated Rear Seat, Back-Up Camera. Wilderness trim. EPA 26 MPG Hwy/21 MPG City! Warranty 5 yrs/60k Miles - Drivetrain Warranty; SEE MORE!KEY FEATURES INCLUDEAll Wheel Drive, Power Liftgate, Heated Driver Seat, Heated Rear Seat, Back-Up Camera. Rear Spoiler, MP3 Player, Remote Trunk Release, Privacy Glass, Keyless GO®. VEHICLE REVIEWSGreat Gas Mileage: 26 MPG Hwy. Fuel economy calculations based on original manufacturer data for trim engine configuration. Please confirm the accuracy of the included equipment by calling us prior to purchase. 
      
    ","Subaru","Outback","New","2024","44354","16V GDI DOHC Turbo","4","Gasoline",,"Automatic CVT","Wilderness","SUV","4","Magnetite","Gray","All-wheel Drive"
"2024 Volkswagen Atlas Cross Sport 2.0T SEL","
      
        The installed navigation system will keep you on the right path. The Volkswagen Atlas Cross Sport features a hands-free Bluetooth phone system. It's Forward Collision Warning feature alerts drivers to potential front-end collisions. This model is pure luxury with a heated steering wheel. The vehicle offers Apple CarPlay for seamless connectivity. The Volkswagen Atlas Cross Sport offers Android Auto for seamless smartphone integration. The leather seats in it are a must for buyers looking for comfort, durability, and style. Protect this model from unwanted accidents with a cutting edge backup camera system. This model has automated speed control that adjusts to maintain a safe following distance, enhancing highway driving convenience. Front wheel drive on this vehicle gives you better traction and better fuel economy. This 2024 Volkswagen Atlas Cross Sport  has a L4, 2.0L high output engine. This Volkswagen Atlas Cross Sport shines with an exquisite metallic silver exterior finish.
      
    ","Volkswagen","Atlas Cross Sport","New","2024","51721","gasoline direct injection, DOHC, variable valve control,","4","Gasoline","11","8-speed automatic","2.0T SEL","SUV","4","Silver Mist Metallic",,"All-wheel Drive"
"2024 Hyundai IONIQ 5 SE Standard Range","
      
        Vehicle pricing includes all offers and incentives. Sales tax, registration fees, dealer installed options, reconditioning costs, and $999 dealer fee not included in all vehicle prices shown and must be paid by the purchaser. While great effort is made to ensure the accuracy of the information on this site, errors do occur so please verify information with a customer service rep.
      
    ","Hyundai","IONIQ 5","New","2024","44195","c",,"Electric","14","1-Speed Automatic","SE Standard Range","SUV","4","Atlas","Gray","Rear-wheel Drive"
"2024 Audi Q8 e-tron S line Premium","
      
        Glacier White Metallic 2024 Audi Q8 e-tron Premium Plus S line QUATTRO.
      
    ","Audi","Q8 e-tron","New","2024","86670","c",,"Electric","5","Automatic","S line Premium","SUV","4","Glacier White Metallic","Pearl Beige","All-wheel Drive"
"2024 Volkswagen Jetta 1.4T S","
      
        Text Bryan Franks @ 256-333-91052024 VW Jetta 1.5T Sport in Pure White exterior with Titan Black cloth interiorMonster Mats® (set of 4) & Heavy Duty Trunk Liner w/ VW CarGo Blocks $296.00VW Care: Prepaid Scheduled Maintenance Contract w/ 30,000-mile servicing for Sedans/Hatchbacks $195.00First Aid Kit & Roadside Assistance Kit $110.00Displayed selling price requires financing new vehicle through a Hiley Volkswagen of Huntsville preferred lender at the dealership choosing. Subject to credit approval. This offer cannot be combine with special financing rates if available. This offer cannot be combined with lease offers. Additional bonus available for Military/First Responders and recent College Graduates (not all will qualify). Pricing excludes taxes, title, fees, and accessories.
      
    ","Volkswagen","Jetta","New","2024","24348","4 gasoline direct injection, DOHC, variable valve control","4","Gasoline","6","8-Speed Automatic with Tiptronic","1.4T S","Sedan","4","Pure White","Titan Black","Front-wheel Drive"
"2024 Hyundai Sonata Hybrid Limited","Portofino Gray 2024 Hyundai Sonata Hybrid Limited FWD 6-Speed Automatic with Shiftronic I4 44/51 City/Highway MPG","Hyundai","Sonata Hybrid","New","2024","38870","16V GDI DOHC Hybrid","4","Hybrid","14","6-Speed Automatic","Limited","Sedan","4","Portofino Gray","Dark Gray","Front-wheel Drive"
"2024 Kia EV9 Light Long Range","VISION KIA CANANDAIGUA.Aurora Black Pearl 2024 Kia EV9 Light Long Range RWD 1-Speed Automatic Electric Motor Price includes: $7500 - Kia Customer Cash. Exp. 07/08/2024","Kia","EV9","New","2024","52388","c Motor",,"Electric","1","1-Speed Automatic","Light Long Range","SUV","4","Aurora Black Pearl","Gray","Rear-wheel Drive"
"2024 Dodge Durango R/T","Night Moves 2024 Dodge Durango R/T AWD.","Dodge","Durango","New","2024","58709","16V MPFI OHV","8","Gasoline","15","8-Speed Automatic","R/T","SUV","4","Night","Black","All-wheel Drive"
"2024 Dodge Hornet R/T EAWD","
      
        CALL 239-424-7514 to set up a VIP APPOINTMENT!, 1.3L I4.2024 Dodge Hornet R/T 8 Ball AWD 6-Speed Automatic 1.3L I4Cape Coral Chrysler Dodge Jeep Ram wants to be your dealer. With the friendliest staff is Southwest Florida, the newest state of the art facility, 52 bays of service, 5 service lanes, automated car wash, free refreshments, and over 40 banks to get you the best deals possible on your new vehicle. Call Cape Coral Chrysler Dodge Jeep Ram for all your automotive needs or with any questions about our listings.
      
    Cape Coral CDJR provides you a world class client experience.  With the friendliest staff in Southwest Florida, and over 4,000 vehicles in stock and available, you'll always find what you need to fit into your budget.  Find us on Pine Island Road.","Dodge","Hornet","New","2024","42855","4 gasoline direct injection, DOHC, Multiair variable valv","4","Gasoline","5","6-Speed Automatic","R/T EAWD","SUV","4","8 Ball","Black","All-wheel Drive"
"2024 Dodge Hornet GT","
      
        Check out this great value! It comes equipped with all the standard amenities for your driving enjoyment. The engine breathes better thanks to a turbocharger, improving both performance and economy. Dodge prioritized practicality, efficiency, and style by including: a tachometer, cruise control, and 1-touch window functionality. Smooth gearshifts are achieved thanks to the efficient 4 cylinder engine, and for added security, dynamic Stability Control supplements the drivetrain. We have the vehicle you've been searching for at a price you can afford. Stop by our dealership or give us a call for more information.
      
    We have learned from over 26 years of experience that to have a chance to sell you a car, we need to: Treat you the way you wish to be treated, Find a vehicle that you love, and Fit the vehicle comfortably into your budget. We are here for you! We can do virtual appointments, local at home test-drives and local home vehicle deliveries. We want to earn your business! Call us Today at (217)892-2155.","Dodge","Hornet","New","2024","34990","16V GDI DOHC Turbo","4","Gasoline","10","9-Speed Automatic","GT","SUV","4","Q BALL","Black","All-wheel Drive"
"2024 Kia Sportage Hybrid EX","
      
        KIA SPORTAGE HYBRID 2024. Recent Arrival! 2024 Kia Sportage Hybrid EX 38/38 City/Highway MPG I4. I4 6-Speed Automatic AWDIf you're looking for the new 2024 Kia Sportage Hybrid for Sale in Tulsa, OK or Broken Arrow, then this 2024 Sportage Hybrid EX might just be the perfect SUV for you!Located at our Kia Dealership in Tulsa, this Gravity Gray Kia Sportage, is a 2024 Kia Sportage Hybrid EX AWD SUV, and is complimented with a beautiful, Black Interior Seat Trim.And a few of its highlighted features include a Navigation System, Lane Departure, Automatic Temperature Control, an Emergency Communication System, Wireless Phone Connectivity, Parking Sensors, an Exterior Rearview Parking Camera and Front Dual-Zone Air-Conditioning.DON'T MISS OUT! Contact one of our friendly consultants today at Midtown Kia of Tulsa, at (918) 922-9632, for complete details on this 2024 Kia Sportage Hybrid. Tulsa Kia clients are always invited to discover our convenient and hassle-free car-buying experience at Midtown Kia.Conveniently browse over nearly 40 New Sportage Models, including several 2024 Sportage Hybrid models, or compare the 2024 Sportage Specs and Colors, research the current Lease Deals and Incentives.
      
    Tulsa's Kia Lease headquarters.  We have many lease options with payments less than $300 per month.  Check out our new inventory specials on cars.com, give us a call at (918)609-9243 or visit our website for more lease information.  Midtown Kia where we are always glad to see ya!","Kia","Sportage Hybrid","New","2024","34835","4 gasoline direct injection, DOHC, CVVT variable valve co","4","Hybrid","9","Automatic","EX","SUV","4","Gravity Gray","Black","All-wheel Drive"
"2024 GMC Terrain SLE","","GMC","Terrain","New","2024","35870","4 gasoline direct injection, DOHC, variable valve control","4","Gasoline","0","Automatic","SLE","SUV","4","Summit White","Jet Blk Premium Clth","All-wheel Drive"
"2024 Ford Expedition XLT","
      
        Heated Seats, NAV, Sunroof, 3rd Row Seat, Back-Up Camera, Rear Air, Turbo, Quad Seats, Tow Hitch, WHEELS: 20 SPARKLE SILVER ALUMINUM, TRANSMISSION: 10-SPEED AUTOMATIC W/SE... Iconic Silver exterior and Black Onyx interior, XLT trim KEY FEATURES INCLUDENavigation, 4x4, Rear Air, Back-Up Camera, Running Boards OPTION PACKAGESEQUIPMENT GROUP 202A HIGH PACKAGE Wireless Charging Pad, Located in media hub, Power Liftgate, 2nd Row Power-Folding Captains Chairs, armrests and tip-and-slide, Accent Color Painted Rear Bumper, Heated Steering Wheel, Heated/Ventilated Front Seats, 110V/150W AC Power Outlet, Power-Folding Sideview Mirrors w/Autofold, power and heated glass, turn signal indicators, security approach lamps, driver/passenger side memory and body-color caps, 3rd Row Vinyl Head Restraints, power recline and power-folding, 4-Door Intelligent Access (Lock/Unlock), Power-Adjustable Pedals w/Memory, SecuriCode Keyless Entry Pad, Power Tilt/Telescopic Steering Wheel w/Memory, Ambient Lighting, Remote Start, Advanced Security Pack, SecuriLock Passive Anti-Theft System (PATS) and inclination/intrusion sensors, PANORAMIC VISTA ROOF power open/close w/power shade, WHEELS: 20 SPARKLE SILVER ALUMINUM Tires: P275/55R20 AT BSW, TRANSMISSION: 10-SPEED AUTOMATIC W/SELECTSHIFT (STD). WHO WE AREWe have a strong and committed sales staff with many years of experience satisfying our customers needs. Feel free to browse our inventory online, request more information about vehicles, set up a test drive or inquire about financing! Please confirm the accuracy of the included equipment by calling us prior to purchase. 
      
    ","Ford","Expedition","New","2024","69955","24V PDI DOHC Twin Turbo","6","Gasoline","8","10-Speed Automatic","XLT","SUV","4","Silver","Black Onyx","Four-wheel Drive"
"2024 Dodge Hornet R/T","
      
        This vehicle won't be on the lot long! This is an excellent vehicle at an affordable price! The engine breathes better thanks to a turbocharger, improving both performance and economy. Dodge prioritized fit and finish as evidenced by: a trip computer, fully automatic headlights, and 1-touch window functionality. Smooth gearshifts are achieved thanks to the efficient 4 cylinder engine, and for added security, dynamic Stability Control supplements the drivetrain. Our experienced sales staff is eager to share its knowledge and enthusiasm with you. We'd be happy to answer any questions that you may have. Stop by our dealership or give us a call for more information.
      
    ","Dodge","Hornet","New","2024","39581","16V GDI DOHC Turbo Hybrid","4","Hybrid","5","6-Speed Automatic","R/T","SUV","4","Blue Steel","Black","All-wheel Drive"
"2024 Volkswagen Atlas 2.0T Peak Edition SE w/Technology","
      
        Boasts 24 Highway MPG and 18 City MPG! This Volkswagen Atlas delivers a Intercooled Turbo Premium Unleaded I-4 2.0 L/121 engine powering this Automatic transmission. Window Grid Diversity Antenna, Wheels: 18 Black Painted 5-Spoke Alloy, VW Car-Net Safe & Secure 5-year Tracker System. This Volkswagen Atlas Features the Following Options Valet Function, Trunk/Hatch Auto-Latch, Trip Computer, Travel Assist (semi-automated driving assistance), Transmission: 8-Speed Automatic w/Tiptronic, Transmission w/Driver Selectable Mode, Trailer Wiring Harness, Tires: 245/60R18 All-Season, Tire Specific Low Tire Pressure Warning, Tailgate/Rear Door Lock Included w/Power Door Locks. Visit Us Today You've earned this- stop by Grand Junction Volkswagen located at 653 Market St, Grand Junction, CO 81505 to make this car yours today!
      
    ","Volkswagen","Atlas","New","2024","49166","16V GDI DOHC Turbo","4","Gasoline","0","8-Speed Automatic","2.0T Peak Edition SE w/Technology","SUV","4","Avocado Green","Titan Black","All-wheel Drive"
"2024 Hyundai IONIQ 5 Limited","
      
        Vehicle pricing includes all offers and incentives. Sales tax, registration fees, dealer installed options, reconditioning costs, and $999 dealer fee not included in all vehicle prices shown and must be paid by the purchaser. While great effort is made to ensure the accuracy of the information on this site, errors do occur so please verify information with a customer service rep.
      
    ","Hyundai","IONIQ 5","New","2024","55365","c",,"Electric","10","1-Speed Automatic","Limited","SUV","4","Cyber Gray","Black","Rear-wheel Drive"
"2024 Jeep Grand Cherokee L Limited","
      
        Bright White Clearcoat 2024 Jeep Grand Cherokee L Limited 3.6L V6 24V VVT RWD 7 & 4 Pin Wiring Harness, Auto High-beam Headlights, Class IV Receiver Hitch, Dual-Pane Panoramic Sunroof, Heated front seats, Heated rear seats, Heated steering wheel, Integrated Off-Road Camera, Intersection Collision Assist System, Luxury Tech Group II, Memory seat, ParkSense Front/Rear Park Assist w/Stop, ParkView Rear Back-Up Camera, Passive Entry - Front/Rear Doors, Liftgate, Power Liftgate, Power Tilt/Telescope Steering Column, Radio: Uconnect 5 Nav w/10.1 Display, Rain Sensitive Windshield Wipers, Reclining 3rd row seat, Remote keyless entry, Steering wheel mounted audio controls, Surround View Camera System, Trailer Hitch Zoom, Trailer Tow Package, Ventilated Front Seats, Wireless Charging Pad. 19/26 City/Highway MPG Disclaimer: Pricing is inclusive of all applicable manufacturer incentives and may not be combined with other exclusive offers. See dealer for details. New vehicle pricing includes all offers and incentives. Tax, Title, and Tags are not included in the vehicle prices shown and must be paid by the purchasers. While great efforts are made to ensure the accuracy of the information on this site, errors do occur so please verify information with a customer service rep. This is easily done by calling us at 352-490-4969 or by visiting us at the dealership. Price excludes tax, tag, title, registration, any dealer-installed accessories and dealer-provided benefits, a pre-delivery service fee of $898.50, and an Electronic Registration Filing Fee of $125, which charges represent costs and profits to the dealer for items such as inspecting, cleaning, and adjusting vehicles and preparing documents related to the sale. New vehicle pricing excludes Dealer Installed Accessories which may include Tint, Nitro, Wheel Locks, Lift Kits, Tires, and other dealer accessories. All prices, specifications, and availability are subject to change without notice. All advertised pricing is on in-stock units only and includes all applicable dealer discounts, manufacturer discounts, and incentives. Certain offers and incentives presume financing through the Manufacturer Captive Lender, subject to approved credit. Should you purchase the vehicle through the use of other funds or through other lending sources, certain offers and incentives may be excluded. Due to supply chain challenges and limited inventory, vehicles may be subject to an additional market adjustment depending on inventory production, availability, and market conditions. Please see the dealer for details. Pricing provided may vary significantly between the website and the dealer as a result of supply chain constraints.
      
    It's Cheaper in Chiefland!","Jeep","Grand Cherokee L","New","2024","51360","24V MPFI DOHC","6","Gasoline",,"8-Speed Automatic","Limited","SUV","4","Bright White Clearcoat","Beige / Black","Rear-wheel Drive"
"2024 Hyundai Tucson Limited","Shimmering Silver 2024 Hyundai Tucson Limited AWD 8-Speed Automatic with SHIFTRONIC 2.5L I4 DGI DOHC 16V LEV3-SULEV30 187hp23/29 City/Highway MPGShop West Herr Automotive Group, over 7,000 vehicles online. New York State's #1 Volume Selling Retailer.","Hyundai","Tucson","New","2024","40474","ream 2.5L I-4 port/direct injection, DOHC, CVVT variable","4","Gasoline","5","Automatic","Limited","SUV","4","Shimmering Silver","Gray","All-wheel Drive"
"2024 BMW X7 xDrive40i","2024 BMW X7 xDrive40i","BMW","X7","New","2024","89450","24V GDI DOHC Turbo","6","Gasoline","10","8-Speed Automatic","xDrive40i","SUV","4","Black Sapphire Metallic","Cognac","All-wheel Drive"
"2024 Jeep Compass Latitude","
      
        4WD. 4WD, 17 x 7 Aluminum Wheels, 3.73 Final Drive Ratio, 4-Wheel Disc Brakes, 6 Speakers, ABS brakes, Air Conditioning, Alloy wheels, AM/FM radio: SiriusXM, Auto High-beam Headlights, Brake assist, Bumpers: body-color, Compass, Delay-off headlights, Driver door bin, Driver vanity mirror, Dual front impact airbags, Dual front side impact airbags, Electronic Stability Control, Emergency communication system: Jeep Connect, Four wheel independent suspension, Front anti-roll bar, Front Bucket Seats, Front Center Armrest w/Storage, Front fog lights, Front reading lights, Fully automatic headlights, Heated door mirrors, Illuminated entry, Knee airbag, Leather Shift Knob, Leather steering wheel, Low tire pressure warning, Occupant sensing airbag, Outside temperature display, Overhead airbag, Overhead console, Panic alarm, ParkView Rear Back-Up Camera, Passenger door bin, Passenger vanity mirror, Power door mirrors, Power steering, Power windows, Premium Cloth/Vinyl Bucket Seats, Radio: Uconnect 5 w/10.1 Display, Rear anti-roll bar, Rear seat center armrest, Rear window defroster, Rear window wiper, Remote keyless entry, Roof rack: rails only, Security system, Speed control, Split folding rear seat, Spoiler, Steering wheel mounted audio controls, Tachometer, Telescoping steering wheel, Tilt steering wheel, Traction control, Trip computer, and Variably intermittent wipers.Baltic Gray Metallic Clearcoat 2024 Jeep Compass Latitude 4WD 8-Speed Automatic 2.0L I4 DOHC Price includes: $1500 - 2024 CDJR Southeast BC Retail Bonus Cash SECRA1. Exp. 04/30/2024 $500 - 2024 DJR National Retail Consumer Cash 24CR1. Exp. 04/30/2024 $500 - 2024 FIRST RESPONDER BONUS CONSUMER CASH 47CRA9. Exp. 01/02/2025
      
    ","Jeep","Compass","New","2024","28860","16V GDI DOHC Turbo","4","Gasoline","7","8-Speed Automatic","Latitude","SUV","4","Metallic","Black","Four-wheel Drive"
"2024 Toyota Tundra Hybrid Limited","
      
        $6,403 off MSRP! Recent Arrival!2024 Toyota Tundra Hybrid Limited 4WD3.4L V6, 20'' x 8'' Alloy Wheels, 3.31 Axle Ratio, 4-Wheel Disc Brakes, 9 Speakers, ABS brakes, Air Conditioning, Alloy wheels, AM/FM radio: SiriusXM, Apple CarPlay/Android Auto, Auto High-beam Headlights, Auto-dimming door mirrors, Auto-dimming Rear-View mirror, Automatic temperature control, Bed Step (TMS), Brake assist, Bumpers: body-color, Delay-off headlights, Driver door bin, Driver vanity mirror, Dual front impact airbags, Dual front side impact airbags, Dual-Step Running Board - Black (TMS), Electronic Stability Control, Emergency communication system: Safety Connect (10-year trial), Exterior Parking Camera Rear, Front anti-roll bar, Front Bucket Seats, Front Center Armrest, Front dual zone A/C, Front fog lights, Front reading lights, Front wheel independent suspension, Fully automatic headlights, Garage door transmitter: HomeLink, Heated & Ventilated Front Bucket Seats, Heated door mirrors, Heated front seats, Heated steering wheel, Illuminated entry, Knee airbag, Leather Shift Knob, Low tire pressure warning, Memory seat, Navigation System, Occupant sensing airbag, Outside temperature display, Overhead airbag, Overhead console, Panic alarm, Passenger door bin, Passenger vanity mirror, Power door mirrors, Power driver seat, Power passenger seat, Power steering, Power windows, Radio data system, Radio: Audio Plus, Rear reading lights, Rear seat center armrest, Rear step bumper, Rear window defroster, Remote keyless entry, Security system, SofTex Seat Trim, Speed control, Speed-sensing steering, Split folding rear seat, Steering wheel mounted audio controls, Tachometer, Telescoping steering wheel, Tilt steering wheel, Traction control, Trip computer, Turn signal indicator mirrors, Variably intermittent wipers, Ventilated front seats, Voltmeter, 3.4L V6.
      
    All NEW TOYOTA prices plus, tax, title, license, Serra Platinum Package $499, and $699 Doc fee. All standard factory incentives available to all customers applied in lieu of special financing. For NEW vehicle purchases, all sale prices include 25,000 miles of ToyotaCare Maintenance, and a limited lifetime Non-Factory Serra Warranty. We are not responsible for any errors contained on these pages.","Toyota","Tundra Hybrid","New","2024","62341","MAX 3.4L V-6 port/direct injection, DOHC, variable valve","6","Hybrid","4357","10-Speed Automatic","Limited","Pickup Truck","4","Ice Cap","Black","Four-wheel Drive"
"2024 Hyundai IONIQ 5 SE","
      
        Country Hyundai is part of the TommyCar Auto Group. We are proud to make purchasing and servicing a vehicle simple, transparent, and hassle-free with the TommyCar Difference. Buy with confidence, convenience and get rewarded. Come join the family, experience the difference, and see why You're Going to Love It Here! 2024 Hyundai IONIQ 5 SE IONIQ 5 SE, 4D Sport Utility, Electric Motor, 1-Speed Automatic, AWD, 4-Wheel Disc Brakes, Air Conditioning, Dual front impact airbags, Emergency communication system: Bluelink+, Front Bucket Seats, Front dual zone A/C, Heated front seats, Option Group 01, Power driver seat, Power windows, Stain-Resistant Cloth Seating Surfaces, Wheels: 19 x 7.5J Aero Alloy. Please call dealership to verify availability/location. Internet price cannot be combined with any other sale prices, coupons or promotional events. Previous sales excluded. Prices fluctuate daily based on market conditions and days supply and are subject to change at any time. Prices listed do not include the following fees: tax, title, registration, dealer, bank, $694 documentation, or any other fees that may be imposed by federal, state, county or city agencies. Incentives and availability subject to change and not every customer will qualify for all discounts. Residency restrictions apply. Optional installed accessories additional. While every effort is made to ensure the accuracy of this information, we are not responsible for any errors or omissions contained. Stock photos for illustration only. Not all customers may qualify for all rebates listed, see dealer for details. Price includes: $7500 - Retail Bonus Cash. Exp. 06/03/2024 Aged Inventory Rebate
      
    ","Hyundai","IONIQ 5","New","2024","42015","c",,"Electric","7","1-Speed Automatic","SE","SUV","4","Black","Black","All-wheel Drive"
"2024 Nissan Kicks SV","
      
        EquipmentThis vehicle comes equipped with Android Auto for seamless smartphone integration on the road. Bluetooth technology is built into this vehicle, keeping your hands on the steering wheel and your focus on the road. This vehicle's Lane Departure Warning keeps you safe by alerting you when you drift from your lane. The rear parking assist technology on the vehicle will put you at ease when reversing.  The system alerts you as you get closer to an obstruction. This small suv is equipped with the latest generation of XM/Sirius Radio. It has auto-adjust speed for safe following. See what's behind you with the back up camera on it. This unit offers Apple CarPlay for seamless connectivity. It has a L4, 1.6L high output engine. This Nissan Kicks is front wheel drive. It embodies class and sophistication with its refined white exterior.  The Electronic Stability Control will keep you on your intended path.PackagesExterior Package. Special Paint - Scarlet Ember Tintcoat. Splash Guards Grain (4 Piece). Carpeted Floor Mats with Cargo Mat. USB Charging Cable Set - Nissan. Equipment listed is based on original vehicle build and subject to change. Please confirm the accuracy of the included equipment by calling the dealer prior to purchase.Additional InformationWe understand car buying can be very stressful and take way too long! At Nissan of Gadsden we want to outperform any past experience you've had buying a vehicle. Incentives from the manufacturer vary by zip code, our prices are based on a zip code of 35901 and may vary as a result. Some prices may include conditional rebates from the manufacturer, please confirm your eligibility before proceeding. Tax, title, license, dealer fees and dealer installed addendums are extra. Internet prices cannot be combined with any other offers. See store for details. Thank you for taking the time to view our inventory, if you have any questions or need help please give us a call or send us a email. We look forward to earning your business! While every reasonable effort is made to ensure the accuracy of this information, we are not responsible for any errors or omissions contained on these pages.
      
    Nissan of Gadsden prides itself on doing business the right way, that is why we will not be undersold on any new car. We can't wait to have you come in and experience how car buying should be. Stop on in today and mention Cars.com to get our best deal!","Nissan","Kicks","New","2024","24500","4 DOHC, CVTCS variable valve control, regular unleaded, e","4","Gasoline","10","CVT","SV","SUV","4","Aspen White Tricoat","Charcoal","Front-wheel Drive"
"2024 Buick Envista Preferred","
      
        28/32 City/Highway MPG 2024 Buick Envista Preferred ECOTEC 1.2L Turbo 2-Way Power Driver Lumbar Control, 8-Way Power Driver Seat Adjuster, ABS brakes, Adaptive Cruise Control, Advanced Safety Package, All-Weather Floor Liners (LPO), Alloy wheels, Cargo Liner (LPO), Compass, Convenience I Package, Convenience II Package, Electronic Stability Control, Flat-Bottom Wrapped Steering Wheel, Front Doors Keyless Open, Front Intermittent Rainsense Wipers, Heated Driver & Front Passenger Seats, Heated Steering Wheel, Illuminated entry, Lane Change Alert w/Side Blind Zone Alert, Low tire pressure warning, Power Heated door mirrors, Power Liftgate, Preferred Equipment Group G02, Rear Cross Traffic Alert, Remote keyless entry, Remote Start, Sport Pedal Kit, Traction control, Wireless Charging. See Dealer For Specific Equipment Dealer Disclosure: Sales Tax, Title, License Fee, Registration Fee, $250 Dealer Documentary Fee are additional to the advertised price.
      
    What makes buying a car from Dave Arbogast Buick GMC of Troy different? It's the Arbogast Way! Every customer receives Our Best Price First. No hassle or haggling here, just a great deal! Why Arm Wrestle over car prices? Visit Arbogast Today! ","Buick","Envista","New","2024","27075","12V GDI DOHC Turbo","3","Gasoline","6","6-Speed Automatic","Preferred","SUV","4","Sunrise Red Metallic","Ebony","Front-wheel Drive"
"2024 Acura MDX Base","Black 2024 Acura MDX 3.5L 10-Speed Automatic V6 MDX 3.5L, 4D Sport Utility, V6, 10-Speed Automatic, FWD, Black.Acura of Memphis is not just your Memphis Acura dealership. We also provide a full line of services dedicated to our customers. These services include Acura car repairs performed by expert mechanics, to OEM Acura auto parts, to car loans, Acura of Memphis is the smart choice for your automotive needs. Customer Service is #1 here at Acura of Memphis.","Acura","MDX","New","2024","51645","24V GDI SOHC","6","Gasoline","5","10-Speed Automatic","Base","SUV","4","Black",,"Front-wheel Drive"
"2024 Nissan Rogue SV","2024 Nissan Rogue SVAWD.MatthewsBuysCars.com - We’ll buy your car Fast and Fair, even if you don’t buy ours!","Nissan","Rogue","New","2024","35975","o 1.5L I-3 gasoline direct injection, DOHC, CVTCS variabl","3","Gasoline","4","Automatic","SV","SUV","4","Gun Metallic","Charcoal","All-wheel Drive"
"2024 Jeep Wagoneer Base","2024 Jeep WagoneerOur Customer Relations Team has our entire inventory from both of our stores at their fingertips and can check the up-to-the-minute availability changes, new financing incentives and price discounts. Call us now at 740-773-2220 to learn about the Herrnstein difference. To guarantee the best deal and best car-buying experience, please call ahead and speak to our Customer Relations team.","Jeep","Wagoneer","New","2024","63057","24V GDI DOHC Twin Turbo","6","Gasoline",,"8-Speed Automatic","Base","SUV","4","Metallic","Black","Four-wheel Drive"
"2024 Nissan Rogue SV","2024 Nissan Rogue SVAWD.MatthewsBuysCars.com - We’ll buy your car Fast and Fair, even if you don’t buy ours!","Nissan","Rogue","New","2024","36405","o 1.5L I-3 gasoline direct injection, DOHC, CVTCS variabl","3","Gasoline","5","Automatic","SV","SUV","4","Deep Ocean Blue Pearl","Charcoal","All-wheel Drive"
"2024 Jeep Wagoneer L Series II Carbide 4x4","   Price includes National Conquest Cash for $1 000  Jeep WS Dealer Cash Coupon Program for $3 000   and Flow Dealer Discount for $3 803    ","Jeep","Wagoneer L","New","2024","86137","ne 3L I-6 gasoline direct injection, DOHC, variable valve","6","Gasoline","5","Automatic","Series II Carbide 4x4","SUV","4","Velvet Red Pearlcoat","Global Black","Four-wheel Drive"
"2024 Kia Sportage S","
      
        25/33 City/Highway MPGThe Classic Kia Team thanks you for the opportunity to serve our local and surrounding communities. Come see us at 3875 Eastex Freeway, Beaumont, TX 77706 or stop by online at www.classickia.com.Classic Kia is pumped up to offer this fantastic 2024 Kia Sportage LX in Gravity Gray with Black interior. Well equipped with 17'' Alloy Wheels, 4-Wheel Disc Brakes, 6 Speakers, ABS brakes, Air Conditioning, Alloy wheels, AM/FM radio, Auto High-beam Headlights, Axle Ratio: 3.648, Brake assist, Bumpers: body-color, Cargo Mat, Cargo Net Hybrid w/o Audio, Carpeted Floor Mats, Cloth Seat Trim, Delay-off headlights, Driver door bin, Driver vanity mirror, Dual front impact airbags, Dual front side impact airbags, Electronic Stability Control, Four wheel independent suspension, Front anti-roll bar, Front Bucket Seats, Front Center Armrest, Fully automatic headlights, Illuminated entry, Low tire pressure warning, Occupant sensing airbag, Outside temperature display, Overhead airbag, Overhead console, Panic alarm, Passenger door bin, Passenger vanity mirror, Power door mirrors, Power steering, Power windows, Radio: AM/FM/HD Audio System, Rear anti-roll bar, Rear seat center armrest, Rear side impact airbag, Rear window defroster, Rear window wiper, Remote keyless entry, Security system, Speed control, Speed-sensing steering, Split folding rear seat, Spoiler, Steering wheel mounted audio controls, Tachometer, Telescoping steering wheel, Tilt steering wheel, Traction control, Trip computer, and Variably intermittent wipers.
      
    Check us out for the largest selection of inventory in Southeast Texas!","Kia","Sportage","New","2024","27969","4 port/direct injection, DOHC, CVVT variable valve contro","4","Gasoline","0","8-Speed Automatic","S","SUV","4","Gravity Gray","Black","Front-wheel Drive"
